 ”,w
福尔加奇,nr
福分,n
福冈,ns
福洪,nr
福家,nr
福建,ns
福建省,ns
福将,n
福今,nr
福康,nr
福奎,nr
福利,n
福利部,n]nt
福利楼,n
福利型,b
福利性,n
福利院,n,n]nt
福利制,n
福林,nr
福龄,nr
福民,nr
福诺斯,nr
福气,n,a
福泉,ns
福如东海,i
福瑞,nr
福塞特,ns,nr
福善,nr
福寿仙,nz
福斯特,nr
福坦莫,nz
福特,nz
福特宝,nz
福田,ns
福王,nr
福香,nr
福祥,nr
福兴寺,ns
福义,nr
福荫,n
福音,n
福印,nr
福勇,nr
福佑,vn
福渊,nr
福远,nr
福云,nr
福周,nr
福州,ns
福州市,ns
福炜,nr
福祉,n
弗吉尼亚州,ns
弗兰克·卡恩,nr
弗兰克尔,nr
弗朗切斯科·弗朗兰利,nr
弗雷德里克·史密斯,nr
弗雷谢特,nr
弗里德里希斯菲尔德,ns
弗利德里希·博尔,nr
弗纶,a
弗罗兰德,nr
甫,nr
抚,Vg
抚爱,vn
抚今追昔,i
抚摸,v
抚顺,ns
抚慰,v
抚恤,vn
抚恤金,n
抚养,v
抚养费,n
抚育,v
抚熨,v
辅,Ng,nr,Vg
辅币,n
辅导,v,vn
辅导员,n
辅料,n
辅仁,nr,nz
辅线,n
辅助,vn,v
俯,v
俯冲,v
俯身,v
俯视式,b
俯首称臣,l
俯仰,v
俯贻,v
俯瞰,v
斧,Ng
府,Ng
府南,ns
府南河,ns
腐,a,Vg
腐败,an,a
腐化,v
腐烂,v,vn
腐烂河,n
腐蚀,v,vn
腐蚀剂,n
腐蚀性,n
腐朽,a,an
腐殖质,n
赴,v
赴汤蹈火,i
赴宴,v
赴约,v
副,b,q,j
副产品,n
副处级,b
副高,j
副公,nr
副官,n
副教授,n
副刊,n
副科级,b
副食品,n
副业,n
副职,n
副总,n
副作用,n
覆,Vg
覆盖,v,vn
覆盖率,n
覆盖面,n
覆灭,v
覆膜,n
覆辙,n
赋,v
赋诗,v
赋税,n
赋闲,v
赋予,v
复,Dg,Vg,nr
复仇者,n
复出,v
复东,nr
复读,v
复发,v
复方,b
复方脑栓１号,nz
复方脑栓２号,nz
复核,v,vn
复合,v,vn
复合材料,n
复合肥,n
复合肥料,l
复合型,n,b
复会,v
复活,v
复活节,t
复建,vn,v
复交,vn,v
复刊,v
复垦,v,vn
复垦区,n
复兰,nr
复礼,nr
复良,nr
复评,v
复起,nr
复苏,v,vn
复吸率,n
复习,vn
复线,n]nz,n
复新剂,n
复兴,vn,nr,nz,v
复议,vn,v
复印,v
复印件,n
复用,vn
复榆,nr
复原,v,vn
复员,vn
复员费,n
复员军人,n
复杂,a,an
复杂化,v
复杂性,n
复之,nr
复制,v,vn
复转,vn
傅,nr
傅村镇,ns
付,v,nr
付酬,v
付出,v,vn
付费,v
付给,v
付汇,vn
付汇联,n
付款,v
付款部,n]nt
付钱,v
付清,v
付息,v
付诸,v
付诸东流,i
付诸实施,l
阜城县,ns
阜南县,ns
阜平,ns
阜新,ns
阜阳市,ns
父,Ng
父辈,n
父老,n
父老乡亲,l
父老兄弟,j
父母,n
父母官,n
父母亲,n
父亲,n
父子,n
腹,Ng
腹部,n
腹地,n
腹沟,n
腹内,s
腹泻,v
腹心区,n
腹胀,v
负,v,b,vn
负担,n,v
负担卡,n
负荷,n
负荆请罪,i
负疚,an
负面,b
负伤,v
负挖,vn
负效应,n
负有,v
负于,v
负载,v
负责,v,vn,a
负责人,n
负责制,n
负债,vn,v,n
负债村,n
负债累累,l
负债率,n
负重,v,vd
负罪,n
富,Vg,a,v,Ng
富川,ns
富春,nr
富存区,n
富达,nr,nz
富港,ns
富港村,ns
富贵,a
富国,nr
富含,v
富户,n
富集,vn,v
富集点,n
富集区,n
富家,n
富康,nz
富丽堂皇,i
富连成,nz
富林,nr
富临,nz
富民,v
富民政策,l
富明,nr
富宁县,ns
富强,a,an
富泉,nr
富饶,a
富人,n
富荣,nr
富润,nz
富商,n
富仕,nz
富庶,a
富翁,n
富贤,nr
富英,nr
富有,v,vn,a,nr
富于,v
富余,vn
富裕,a,an
富裕村,n
富裕户,n
富裕型,n
富源县,ns
富治,nr
富足,a,an
附,v
附表,n
附带,v
附和,vn
附记,v,n
附加,vn,v
附加费,n
附加赛,vn
附加值,n
附近,f
附聚,v
附配件,n
附设,v
附属,vn,v
附属物,n
附有,v
附则,n
附中,j]nt
附中队,n]nt
附着,v
附着力,n
妇,Ng
妇产科,n]nt,n
妇代会,j
妇科病,n
妇联,j]nt,j
妇女,n
妇女节,t
妇孺皆知,i
妇委会,j
妇幼,n,j
嘎嘎,o
该,v,r
该案,r
该报,r
该病,r
该部,r
该厂,r
该车,r
该村,r
该党,r
该岛,r
该地,r
该店,r
该段,r
该港,r
该关,r
该馆,r
该国,r
该会,r
该机,r
该奖,r
该局,r
该剧,r
该刊,r
该矿,r
该类,r
该路,r
该片,r
该区,r
该人,n
该社,r
该省,r
该师,r
该市,r
该书,r
该署,r
该寺,r
该所,r
该台,r
该团,r
该系,r
该县,r
该项,r
该校,r
该行,r
该院,r
该镇,r
该周,r
该州,r
改,v,Ng
改版,v
改编,v,vn
改变,v,vn
改称,v
改道,v
改掉,v
改动,v
改改,v
改革,v,vn
改革家,n
改革者,n
改观,vn,v
改过自新,i
改好率,n
改换,v
改嫁,v
改建,v
改进,v,vn
改扩建,j
改良,vn,v
改名,v
改判,v
改任,v
改日,d
改善,v,vn
改天,d
改天换地,i
改头换面,i
改为,v
改弦易辙,i
改写,v
改行,v
改选,v
改用,v
改玉,nr
改造,vn,v,n
改造权,n
改正,v
改制,vn,v
改装,v,vn
改组,v,vn
改作,v
概,d
概况,n
概括,v,vn,vd
概括性,n
概览,n
概率,n
概略,n
概论,n
概莫能外,i
概念,n
概念比,n
概述,v
概算,n,v
钙,n
钙维片,n
钙质,n
盖,v,nr,d,Ng
盖板,n
盖茨,nr
盖茨堡镇,ns
盖德,nr
盖房,v
盖里,s
盖帘,n
盖山林,nr
盖头,n
盖碗茶,n
盖章,vn
干,a,v,nr,Ng,d,j
干巴巴,z
干杯,v
干瘪,a
干部,n
干部处,n]nt
干部会,n
干柴,n
干脆,d,a
干脆利落,l
干打垒,n
干道,n
干粉,n
干干净净,z
干管,n
干果,n
干旱,an,a
干涸,v
干活,v
干极,n
干结核量,n
干劲,n
干警,n
干净,a
干净利落,i
干渴,a
干枯,v
干练,an
干粮,n
干裂,v
干流,n
干吗,v
干群,j
干扰,v,vn
干扰源,n
干涉,v,vn
干什么,v
干事,n
干事长,n
干事会,n
干瘦,z
干鲜果品,j
干线,n,n]nz
干校,n
干休所,j,j]nt
干椰枣,n
干预,v,vn
干云蔽日,i
干燥,a
干枝,n
干支沟,n
干峙,nr
干着急,l
甘,nr,j,Vg
甘巴拉,nz
甘草,n
甘当,v
甘井子区,ns
甘苦,n
甘苦与共,l
甘蓝,n
甘美,a
甘耐,v
甘南藏区,ns
甘肃,ns
甘肃省,ns
甘甜,an
甘心,v
甘于,v
甘愿,v
甘蔗,n
甘蔗园,n
甘珠尔,nz
杆,q
杆秤,n
杆塔,n
柑,Ng
柑桔,n
竿,Ng
肝癌,n
肝胆,n
肝胆相照,i
肝功能,n
肝炎,n
肝脏,n
赶,v
赶场,vn
赶超,v
赶到,v
赶赴,v
赶回,v
赶集,v,vn
赶集会,n
赶紧,d
赶快,d
赶来,v
赶浪头,v
赶路,v
赶忙,d
赶排,v
赶上,v
赶时髦,v
赶趟,vn,v
赶往,v
赶下台,v
赶走,v
感,Ng,Vg
感触,n,v
感到,v
感动,v,a,vn
感官,n
感化,v
感怀,v
感激,v,vn
感激不尽,l
感觉,n,v,vn
感慨,v,a,vn,an
感慨不已,l
感慨万端,l
感慨万千,i
感慨系之,l
感冒,v,vn
感念,v
感情,n
感情用事,i
感染,vn,v
感染力,n
感染者,n
感人,a
感人肺腑,i
感人至深,i
感伤,an
感受,vn,v
感叹,vn,v
感同身受,i
感悟,v,vn
感想,n
感谢,v,vn
感谢信,n
感谢状,n
感性,n
感言,n
感应,n
感召,v,vn
感召力,n
感知,v
秆,Ng
敢,v,Dg
敢为人先,i,l
敢于,v
赣,j
赣鄂皖,j
赣莲６２,nz
赣莲８５—４,nz
赣莲８５—５,nz
赣南,ns
赣西南,f
赣州,ns
赣州市,ns
赣骝,nr
冈玻斯,nr
冈波斯,nr
冈琦嘉平太,nr
刚,d,nr,Ag
刚才,t
刚川,nr
刚刚,d,nr
刚果,ns
刚果共和国,ns
刚果民主共和国,ns
刚好,d
刚劲,a
刚烈,a
刚巧,d
刚性,n
刚毅,a
刚玉,nz
刚愎自用,i
钢,n,nr
钢板,n
钢笔,n
钢材,n
钢材厂,n]nt
钢城,n
钢管,n
钢轨,n
钢花,n
钢架,n
钢江,nr
钢筋,n
钢筋网,n
钢缆,n
钢坯,n
钢钳,n
钢琴,n
钢琴厂,n]nt
钢琴家,n
钢绳,nz
钢丝,n
钢铁,n
钢铁厂,n]nt,n
钢针,n
钢质,b
缸,n
纲,n,nr
纲领,n
纲领性,n
纲敏,nr
纲要,n
岗,n,nr,Ng
岗区,s
岗台,n
岗亭,n
岗位,n
港,j,n
港澳,j
港澳办,j]nt,j
港澳台,j
港币,n
港城,n
港岛,ns
港股,j
港口,n
港口型,n
港区,n
港人,n
港人治港,l,j
港商,n
港湾,n
港务,n
港务局,n]nt
港协,j
港元,n,q
港资,n
杠杆,n
杠杠,n
篙,Ng
高,a,ad,nr,an,v,d,Ng,j
高（平）,ns
高昂,a
高傲,a
高堡乡,ns
高材生,n
高层,n
高产,b,v,vn,n
高唱,v
高超,a
高潮,n,nr
高潮迭起,l
高出一筹,i
高矗,v
高处,s
高达,nz
高大,a
高档,b
高德年,nr
高等,b
高等级,b
高等教育,l
高等学校,l,n
高等院校,n
高低,n,nr
高低型,n
高地,n
高都,ns
高都镇,ns
高度,d,n,b
高度层,n
高墩台,n
高额,b
高尔夫,n
高尔夫球,n
高尔夫球场,n,n]ns
高发,b
高法,j]nt
高峰,n,nr
高峰期,n
高峰乡,ns
高风亮节,i
高风险,n
高冈,nz
高高,d,z
高高的,z
高高兴兴,z
高高在上,i
高歌,v
高工,n
高估,v
高官,n
高贵,a
高寒,b,a
高喊,v
高耗能,n
高呼,v
高华,nr
高淮,nr
高级,a,b
高级化,v
高级社,n
高加索,ns
高价,d,n
高架,vn
高架路,n
高架桥,n]nz,n
高见,n
高涧,ns
高脚杯,n
高教,j
高教部,nt
高洁,a
高居,v
高举,v,vn
高觉,nr
高抗,v
高亢,a
高考,vn,v
高科技化,v
高空,s,n
高粱,n
高粱米,n
高龄,n
高领,n
高楼,n
高楼大厦,i
高炉,n
高帽,n
高明,a,an
高难,b
高难度,n
高能,b
高能耗,n
高能物理,n
高年级,n
高浓度,b
高炮旅,n
高朋满座,i
高频,b
高平,ns
高平市,ns
高坡,n
高谦,nr
高墙,n
高人,n
高三,n
高僧,n
高山,n
高山仰止,i
高山族,nz
高尚,a,an
高烧,n
高深,a
高声,d
高升,v
高氏,nr
高收入者,n
高手,n
高寿,nr
高耸入云,l
高速,b,d
高速公路,n,n]nz
高速路,n
高台,ns
高谈阔论,i
高堂,n
高棠,nr
高填方涵洞,n
高填土路基,n
高迢险峻,l
高头大马,i
高位,n
高温,n
高文,nr
高屋建瓴,i
高息,n
高下,n
高小,n
高校,j
高效,d,b,a
高薪,n
高新产品,n
高新产业,n
高新技术,n
高新科技,n
高新区,n
高兴,a,an
高雄,ns
高雄市,ns
高血压,n
高压,n
高压柜,n
高压脊,n
高压区,n
高压线,n
高压氧,n
高雅,a
高阳,ns
高邑,ns
高音,n
高于,v
高原,n,n]ns
高院,j
高运价率,n
高瞻远瞩,i
高涨,a,an,v
高者,n
高中,n]nt,n,nr
高中版,n
高中低档,j
高中级,j,b
高中生,n
高中组,n
高州,ns
高跷,n
膏药旗,n
糕,Ng
糕点,n
搞,v
搞好,v
搞活,v
搞垮,v
搞头,n
稿,Ng
稿费,n
稿件,n
告,v
告别,v,vn
告辞,v
告发,v
告负,v
告急,v
告捷,v
告诫,v,vn
告竣,v
告老还乡,i
告密,v
告诉,v
告慰,v
告一段落,l
告知,v,vn
告终,v
告状,v,vn
告罄,v
哥,n,j
哥本哈根,ns
哥达,nr
哥德巴赫,nr
哥德兰岛,ns
哥顿,nr
哥儿,n
哥哥,n
哥俩,n
哥伦比亚,ns
哥们儿,n
哥斯达黎加,ns
哥斯达黎加波阿斯,ns
哥特式,b
歌,n,Vg,nr,q
歌唱,vn,v
歌唱家,n
歌词,n
歌德,nr
歌赋,n
歌喉,n
歌剧,n
歌剧舞剧院,n
歌剧院,n,n]nt
歌乐舞,n
歌曲,n
歌曲集,n
歌声,n
歌手,n
歌颂,v
歌坛,n
歌厅,n
歌王,n
歌舞,n
歌舞剧,n
歌舞升平,i
歌舞厅,n
歌舞团,n]nt,n
歌星,n
歌谣,n
歌咏,v,n
歌者,n
搁,v
搁浅,v
搁置,v,vn
搁置不前,l
戈,Ng
戈比,n
戈壁,n
戈壁滩,n
戈尔,nr
戈里,nr
戈里齐亚市,ns
戈矛,n
戈宇,nr
鸽,Ng
鸽子,n
胳膊,n
疙瘩,n
割,v
割胶,vn
割裂,v
革,nr,Vg
革除,v
革大,j
革故鼎新,i
革命,vn,v,a
革命党,n]nt
革命化,vn,v
革命家,n
革命军,n,n]nt
革命派,n
革命情,n
革命史,n
革命性,n
革命英雄主义,n
革命者,n
革新,vn,v,nr
葛,nr
格,j,n,Ng
格但斯克,ns
格调,n
格斗,v,n
格尔木,ns
格格不入,i
格局,n
格拉茨,ns
格拉茨市,ns
格拉斯哥,ns
格朗尼,nr
格老村,ns
格雷,nr
格雷厄姆·弗赖,nr
格里高利历,nz
格林,nr
格林斯潘,nr
格鲁吉亚,ns
格日勒图,nr
格桑顿珠,nr
格桑多杰,nr
格桑尼玛,nr
格森,nr
格式,n
格式化,v
格斯,nr
格套,n
格外,d
格威特,nz
格威特杯,n
格言,n
格子,n
蛤蟆街,ns
阁,Ng
阁楼,n
阁下,n
隔,vn,v
隔岸观火,i
隔壁,s
隔断,v
隔阂,n
隔间,n
隔绝,v
隔离,vn
隔离带,n
隔离道,n
隔三差五,l
隔音,vn
隔阻,v
铬,n,Ng
铬铁矿,n
个,q,Ng,u
个案,n
个把,m
个别,a,b,an
个儿,n
个个,q
个人,n
个人崇拜,l
个人化,vn,v
个人赛,n
个人所得税,n
个人性,n
个人主义,n
个数,n
个体,n
个体户,n
个体经济,l
个体营运户,n
个体主义,n
个头,n
个性,n
个性化,v,vn
个中,r
各,r
各报,r
各部,r
各处,r
各村,r
各党,r
各得其所,i
各地,r
各队,r
各方,r
各负其责,l
各个,r
各国,r
各户,r
各机,r
各级,r
各家,r
各家各户,l
各界,r
各尽所能,i
各就各位,l
各具特色,l
各卷,r
各科,r
各款,r
各类,r
各连,r
各路,r
各门,r
各盟市,r
各派,r
各区,r
各取所需,l
各色,r
各色人等,l
各省,r
各式,r
各式各样,l
各市,r
各抒己见,i
各税,r
各司其职,i
各条,r
各位,r
各系,r
各显其能,l
各县,r
各项,r
各行,r
各行各业,l
各行其道,l
各行其是,i
各业,r
各异,z
各有所长,i
各执一词,i
各种,r
各种各样,l
各州,r
各自,r
各自为战,i
各族,r,n
各组,r
给,v,p,u
给出,v
给排水,vn
给水,vn,v
给水团,n]nt,n
给养,n
给以,v
给予,v,vn
根,n,nr,q
根本,a,n,d
根本点,n
根本性,n
根部,n
根除,v,vn
根茨,nr
根底,n
根雕,n
根堆群培,n
根根,q
根合,nr
根华,nr
根基,n
根杰,ns
根据,p,v,n
根据地,n,n]ns
根俊,nr
根荣,nr
根深,nr
根深蒂固,i
根深叶茂,i
根生,nr
根思,nr
根源,n
根植,v
根治,v
根子,n
跟,p,v
跟班,vd
跟不上,v
跟斗,n
跟前,f
跟随,v,p
跟随者,n
跟头,n
跟着,v
跟踪,vn,v
耕,nr,v
耕地,n,v
耕田,v
耕耘,v,vn
耕者,n
耕种,v
耕作,vn
更,d,Vg
更迭,v,vn
更改,v,vn
更何况,l
更换,v,vn
更加,d
更进一步,l
更名,v
更其,d
更前,nr
更上层楼,i
更上一层楼,i
更生,nr
更胜一筹,i
更是,d
更替,v
更为,d
更弦易辙,l
更新,v,vn
更新换代,i
更衣,v
更有甚者,c,l
庚,nr
庚辰,nr
庚款,nz
庚款留学,nz
庚茂,nr
耿,nr
耿耿不忘,l
耿耿于怀,i
耿良,nr
耿兴,nr
耿庄镇,ns
工,n,j,nr,Ng
工办,j
工本,n
工本费,n
工笔,n
工兵,n
工兵团,n
工部,nr
工长,n
工厂,n,n]nt
工厂化,v,vn
工程,n]nz,n
工程兵,n
工程部,n
工程处,n
工程队,n,n]nt
工程化,vn
工程建设界,n
工程建设者,n
工程奖,n
工程局,n]nt,n
工程量,n
工程师,n
工程团,n]nt
工程学院,n]nt
工程院,n]nt,n
工党,n,n]nt
工地,n,n]ns
工段,n
工夫,n
工会,n,n]nt
工践,nr
工匠,n
工交,j
工具,n
工具厂,n]nt
工矿,b
工龄,n
工贸,j
工农,n
工农兵,j
工农分子,n
工农红军,n
工农贸,j
工农业,n
工期,n
工钱,n
工勤,j
工区,n]nt,n
工人,n
工人阶级,n
工人运动,l
工伤,n
工商,n
工商费,n
工商户,n
工商界,j
工商局,n,n]nt
工商联,j]nt,j
工商企业界,n
工商所,n]nt
工商行,j
工商业,j,n
工社党,n,n]nt
工时,n
工头,n
工亡,b
工委,j,j]nt
工位,n
工务,n
工效,n
工薪,n
工薪阶层,n
工行,j,j]nt
工序,n
工学院,n]nt,n
工业,n
工业部,n,n]nt,nt]nt
工业革命,l
工业国,n
工业化,vn,v
工业局,n]nt,n
工业品,n
工业体系,l
工艺,n
工艺流程,l
工艺论典,n
工艺美术,l
工艺品,n
工益,nz
工余,b
工整,a
工种,n
工装,n
工资,n
工资款,n
工资性,n
工资制,n
工作,vn,v,n
工作部,n,n]nt
工作处,n
工作队,n
工作服,n
工作间,n
工作狂,n
工作量,n
工作面,n
工作日,n
工作室,n]nt
工作台,n
工作团,n,n]nt
工作员,n
工作站,n
工作者,n
工作证,n
工作制,n
工作组,n
攻,v,vn
攻读,v
攻防,vn,v
攻关,vn,v
攻关组,n
攻击,vn,v
攻击机,n
攻击性,n
攻坚,v,vn
攻坚战,n
攻坚仗,n
攻克,v
攻破,v
攻取,v
攻势,n
攻守,n
攻无不克,i
攻占,v
功,n
功不可没,i
功臣,n
功成名就,i
功成名就者,n
功底,n
功夫,n
功夫不负有心人,i
功夫片,n
功过,n
功绩,n
功架,n
功课,n
功亏一篑,i
功劳,n
功利,n
功力,n
功力者,n
功率,n
功民,nr
功能,n
功能性,n
功效,n
功勋,n,nr
功业,n
功用,n
功在当代,l
功在千秋,l
功罪,n
恭城,ns
恭恭敬敬,z
恭贺,v
恭贺新禧,l
恭候,v
恭敬,a
恭楷,n
恭情,nr
恭让,nr
恭维,vn
恭喜发财,l
恭祝,v
龚,nr
供,v
供不应求,i
供大于求,l
供电,vn,v
供电局,n,n]nt
供电所,n
供电系统,l
供奉,v
供稿,v
供给,vn,v
供给量,n
供过于求,l
供货,v,vn
供货期,n
供货商,n
供能,v
供暖,vn,v
供气,vn,v
供求,n
供热,v,vn
供认,v,vn
供水,vn,v
供水量,n
供销,n,vn
供销社,n,n]nt
供需,n
供养,v
供应,v,vn
供应处,n]nt
供应地,n
供应点,n
供应量,n
供应权,n
供应商,n
供应司,n
供应站,n]nt
供油,v
供职,v
供种,v,n
躬,Vg
躬逢,v
躬逢其盛,i
公,j,b,Ng
公安,n,n]nt
公安部,nt
公安处,n]nt,n
公安段,n
公安局,n,n]nt
公安局长,n
公安厅,n]nt,n
公安县,ns
公办,vn
公报,n
公博,nr
公布,v,vn
公布栏,n
公财,n
公厕,n
公车,n
公道,a,an
公德,n
公断,vn
公而忘私,i
公房,n
公费,n
公告,n
公告费,n
公公,n
公共,b,a
公共场所,n
公共积累,l
公共性,n
公关,n
公关部,n,n]nt
公害,n
公惠,nr
公贿,j
公会,n]nt
公会堂,n]nt
公积金,n
公祭,vn,v
公家,n
公剑,nr
公交,b
公交化,v,vn
公斤,q
公开,ad,v,a,an,vn
公开化,v,vn
公开栏,n
公开赛,n
公凯,nr
公款,n
公款吃喝,l
公理,v
公里,q
公里／小时,n
公历,n
公立,b
公粮,n
公路,n,n]nz,b
公路口,s
公路站,n
公略,nr
公民,n
公明党,n
公墓,n,n]ns
公平,a,an,ad
公平化,vn
公婆,n
公仆,n
公仆杯,nz
公汽,j
公卿,nr
公顷,q
公权,nr
公然,d
公认,v,vn
公社,n
公社化,vn
公使,n
公式,n
公事公办,i
公署,n
公私,n
公司,n,n]nt,n]nz
公司法,n
公司制,n
公诉,vn,v
公诉人,n
公堂,n
公文,n
公文纸,n
公武,nr
公物,n
公务,n
公务机,n
公务员,n
公演,v
公益,n
公益林,n
公益性,n
公映,v
公用,vn,n
公用电话,n
公用电话亭,n
公用局,n,n]nt
公用事业,n,l
公有,b
公有制,n
公寓,n
公元,n
公元前,t
公园,n,n]ns
公约,n
公允,a
公债,n
公债券,n
公章,n
公正,a,an,ad
公正性,n
公证,vn,v
公证处,n]nt
公证团,n
公之于世,l
公职,n
公众,n
公主,n
公主岭,ns
公转,v
公子,n
公子哥儿,i
公琦,nr
公瑾,nr
宫,nr,Ng
宫川,nr
宫川宏一,nr
宫灯,n
宫殿,n
宫颈,n
宫颈癌,n
宫内,f
宫腔,n
宫廷,n
宫廷舞,n
宫刑,n
宫轩,nr
宫中,s
弓,v
巩,nr
巩固,v,a,vn
巩固村,ns
巩固率,n
汞,n
拱,v
拱坝,n
拱廊,n
拱棚,n
拱桥,n
拱券,n
拱石桥,n
拱手,vd
拱形,n
贡,nr
贡嘎,ns
贡唐仓·丹贝旺旭,nr
贡献,v,vn,n
贡献度,n
贡献奖,n
贡献率,n
贡献者,n
共,d,j,Vg
共悲共愤,l
共产党,n]nt,n
共产党人,n
共产党员,n
共产国际,l
共产主义,n
共产主义者,n
共存,v
共度,v
共管,v
共和,ns
共和党,n
共和国,n,n]ns
共和军,n
共话,v
共计,v
共建,vn,v
共建点,n
共利,v
共勉,v
共鸣,vn,v
共鸣板,n
共鸣点,n
共命运,l
共青,j
共青团,n,nt
共商国是,i
共识,n
共事,v
共同,d,b
共同点,n
共同富裕论,n
共同纲领,n
共同社,nt,nt]nt
共同市场,l
共同体,n,n]nt
共同语言,n
共享,v,vn
共性,n
共用,b
共有,v,d
共诛,v
钩,n
钩挂,v
勾,v
勾当,n
勾画,v
勾结,v
勾勒,v
勾留,v
勾心斗角,i
沟,n
沟沟壑壑,n
沟谷,n
沟坎,n
沟通,v,vn
沟壑,n
苟,Ag,nr,d
苟安,v
苟利国家生死以,l
苟且偷安,i
狗,n
狗爬犁,n
狗熊,n
垢,Ng
构,Vg
构成,v,n,vn
构架,n
构建,v,vn
构剧,n
构思,v,vn
构图,vn,v
构想,vn,v,n
构造,v,n
构筑,v
构筑物,n
购,Vg,v
购并,vn,v
购车,vn
购车费,n
购得,v
购房,vn,v
购回,v
购汇,v
购机,vn
购机款,n
购建,vn
购进,v,vn
购买,v,vn
购买方,n
购买户,n
购买力,n
购买群,n
购买人,n
购买者,n
购票,v,vn
购票单,n
购票卡,n
购入,v,vn
购书,v
购书款,n
购物,v,vn
购物者,n
购销,v,vn
购销额,n
购销员,n
购置,v
购置费,n
够,d,v,a
够格,a
够呛,v
辜,nr
辜负,v
估,v
估计,v,vn
估价,n,vn
估斤算两,l
估量,vn,v
估摸,v
估算,v,vn
沽,j
沽名钓誉,i
孤,Ag,Ng
孤本,n
孤残,j
孤岛,n
孤灯,n
孤独,an,a
孤儿,n
孤儿村,n
孤儿院,n]nt,n
孤芳自赏,i
孤坟,n
孤寡老人,l
孤寒,a
孤寂,a,an
孤苦,a
孤老,n
孤老户,n
孤立,a,v,vn
孤立无援,i
孤零零,z
孤旅,n
孤身,n
孤掌难鸣,i
姑姑,n
姑妈,n
姑娘,n
姑且,d
姑苏,ns
姑息,v
姑息迁就,l
姑爷,n
鼓,v,a,n
鼓吹,v
鼓捣,v
鼓点,n
鼓动,v
鼓鼓,v
鼓鼓的,z
鼓劲,v
鼓浪屿,ns
鼓乐齐鸣,l
鼓乐声,n
鼓乐喧天,i
鼓励,v,vn
鼓励奖,n
鼓励类,n
鼓楼,n
鼓面,n
鼓声,n
鼓手,n
鼓舞,vn,v,a
鼓噪,vn
鼓掌,vn,v
鼓掌声,n
鼓足,v
鼓足干劲,i
鼓槌,n
古,a,Tg,nr,j
古巴,ns
古北新村,ns
古北新区,ns
古本,n
古城,n
古城镇,ns
古代,t
古代人,n
古道,n
古道热肠,i
古典,b
古典式,n
古典文学,n
古都,n
古怪,a
古迹,n
古籍,n
古脊椎所,n
古间,ns
古建筑,n
古杰拉尔,nr
古今,t
古今中外,i
古旧,a,an
古莱德,nr
古浪县,ns
古老,a
古乐,n
古里亚,nr
古木参天,l
古朴,a,an
古齐里耶夫,nr
古琴,n
古曲,n
古人,n
古人类,n
古人类学,n
古杉,n
古生物,n
古生物学,n
古生物学家,n
古生物学界,n
古诗,n
古时,t
古史,n
古书,n
古斯塔夫松,nr
古体诗,n
古天文学,n
古田,ns
古铜色,n
古玩,n
古为今用,i
古稀,n
古稀之年,i
古训,n
古雅,a
古已有之,l
古语,n
古猿,n
古丈县,ns
古镇,n
古镇村,ns
古装,n
古装片,n
古蔺县,ns
古筝,n
古筝曲,n
骨,Ng
骨董,n
骨干,n
骨干网,n
骨坏死,n
骨灰,n
骨架,n
骨节,n
骨科,n]nt
骨密度,n
骨牌,n
骨盆,n
骨气,n
骨肉,n
骨肉相残,i
骨伤病,n
骨髓灰质炎,n
骨髓炎,n
骨头,n
骨折,v,vn
骨质,n
骨质增生,n
骨骼,n
谷,nr,Ng
谷斑皮蠹,n
谷城县,ns
谷底,n,s
谷内敏美,nr
谷饶镇,ns
谷人,nr
谷孙,nr
谷物,n
谷欣,nr
谷一,nr
谷音,nr
谷种,n
谷子,n
股,q,n,n]nt,v
股本,n
股长,n
股东,n
股东会,n
股份,n,n]nt
股份公司,l]nt,l
股份合作制,n
股份制,n
股骨,n
股骨头,n
股级,b,n
股价,n
股金,n
股民,n
股票,n
股票版,n
股票数,n
股权,n
股市,n
股数,n
股息,n
股指,j
故,c,Ng,d
故步自封,i
故此,c
故而,c
故宫,ns]ns
故国,n
故伎重演,i
故居,n
故里,n
故事,n
故事片,n
故土,n
故乡,n
故乡人,n
故意,d,b
故园,n
故障,n
顾,nr,v
顾不得,v
顾不了,l
顾不上,v
顾及,v
顾客,n
顾虑,n
顾虑重重,l
顾名思义,i
顾盼,v
顾全大局,i
顾问,n
固,j,nr,Vg,Dg
固定,a,v,ad,vn
固定岗,n
固定汇率,l
固定汇率制,n
固定资产,l
固然,d
固守,v
固体,n
固体潮,n
固县,ns
固有,b,a
固住,v
雇,v
雇车,v
雇工,n
雇人,v
雇佣,vn
雇用,v,vn
雇员,n,vn
雇主,n
刮,v
刮风,v
刮目相看,i
瓜,n
瓜分,v
瓜葛,n
瓜果,n
瓜那雷斯,ns
瓜熟蒂落,i
瓜田,n,nr
瓜子,n
瓜子皮,n
寡,Ag
寡不敌众,i
寡妇,n
寡言少语,l
挂,v
挂到,v
挂儿,n
挂钩,v
挂果,v
挂号,v
挂号费,n
挂靠,v
挂历,n
挂面,n
挂念,v,vn
挂牌,v,vn,vd
挂任,v
挂帅,v
挂毯,n
挂图,n
挂羊头卖狗肉,l
挂账,v
挂职,v,vn,vd
挂职支教,l
褂子,n
乖,a
乖乖,d
乖巧,a
拐,Ng,v
拐角,n
拐卖,v
拐杖,n
怪,a,v,d
怪杰,n
怪圈,n
怪态,n
怪物,n
棺木,n
